id, title, last_posted_at, created_at, updated_at, views, posts_count, user_id, last_post_user_id, reply_count, featured_user1_id, featured_user2_id, featured_user3_id, deleted_at, highest_post_number, like_count, incoming_link_count, category_id, visible, moderator_posts_count," closed, archived", bumped_at, has_summary, archetype, featured_user4_id, notify_moderators_count, spam_count, pinned_at, score, percent_rank, subtype, slug, deleted_by_id, participant_count, word_count, excerpt, pinned_globally, pinned_until, fancy_title, highest_staff_post_number, featured_link, reviewable_score, image_upload_id, slow_mode_seconds, bannered_until, external_id
10524,Distant p-r,\N,5/29/2024 10:48,5/30/2024 11:17,6,0,559,559,0,\N,\N,\N,17:02.0,0,0,0,5,t,0,t,f,5/29/2024 10:50,f,regular,\N,0,0,\N,0.4,1,\N,distant-p-r,-1,1,4,(topic deleted by author),f,\N,Distant p-r,0,\N,0,\N,0,\N
799,Could be a supernova in here but cutouts not working,56:08.7,1/6/2019 9:11,1/7/2019 21:56,140,3,99,99,1,1,\N,\N,\N,3,0,1,5,t,0,f,f,1/7/2019 21:56,f,regular,\N,0,0,\N,5.133333333,1,\N,could-be-a-supernova-in-here-but-cutouts-not-working,\N,2,67,"http://legacysurvey.org/viewer?ra=148.2649&amp;dec=-1.7685&amp;zoom=15&amp;layer=decals-dr7 \nDustin - the cutouts don’t load for this set of images. The data comes up, but the thumbnails don’t load.",f,\N,Could be a supernova in here but cutouts not working,3,\N,0,\N,0,\N
1249,Another LSB galaxy?,23:22.2,10/19/2019 14:23,10/19/2019 14:23,128,1,99,99,0,\N,\N,\N,\N,1,0,1,5,t,0,f,f,10/19/2019 14:23,f,regular,\N,0,0,\N,5.6,1,\N,another-lsb-galaxy,\N,1,18,http://legacysurvey.org//viewer/?ra=22.8279&amp;dec=11.7151&amp;layer=dr8-south&amp;zoom=13,f,\N,Another LSB galaxy?,1,\N,0,280,0,\N
2795,Is this a voorwerp or something else?,36:45.9,6/15/2021 17:32,6/15/2021 20:36,127,3,446,216,1,\N,\N,\N,\N,3,2,0,5,t,0,f,f,6/15/2021 20:36,f,regular,\N,0,0,\N,14.86666667,1,\N,is-this-a-voorwerp-or-something-else,\N,2,444,https://www.legacysurvey.org/viewer?ra=164.2715&amp;dec=17.5040&amp;layer=ls-dr9-resid&amp;zoom=16,f,\N,Is this a voorwerp or something else?,3,\N,0,\N,0,\N
1365,Subtle diffuse galaxy,32:40.5,5/29/2020 2:32,5/29/2020 2:32,166,1,162,162,0,\N,\N,\N,\N,1,1,0,5,t,0,f,f,5/29/2020 2:32,f,regular,\N,0,0,\N,17.2,1,\N,subtle-diffuse-galaxy,\N,1,18,http://www.legacysurvey.org//viewer/?ra=144.2542&amp;dec=35.9553&amp;layer=dr8&amp;zoom=15,f,\N,Subtle diffuse galaxy,1,\N,0,392,0,\N
4770,Interesting object,14:19.1,2/16/2023 19:44,2/17/2023 18:14,94,4,707,75,0,291,639,\N,\N,4,4,0,5,t,0,f,f,2/17/2023 18:14,f,regular,\N,0,0,\N,24.35,1,\N,interesting-object,\N,4,88,https://www.legacysurvey.org//viewer/?ra=343.5503&amp;dec=2.1845&amp;layer=hsc-dr2&amp;zoom=16,f,\N,Interesting object,4,\N,0,\N,0,\N
8582,Interesting object,\N,1/23/2024 21:46,1/24/2024 22:04,8,0,559,559,0,\N,\N,\N,04:02.3,0,0,0,5,t,0,t,f,1/23/2024 21:47,f,regular,\N,0,0,\N,0.8,1,\N,interesting-object,-1,1,4,(topic deleted by author),f,\N,Interesting object,0,\N,0,\N,0,\N
10346,Interesting object,10:17.5,5/15/2024 9:10,5/15/2024 9:10,21,1,559,559,0,\N,\N,\N,\N,1,0,0,7,t,0,f,f,5/15/2024 9:10,f,regular,\N,0,0,\N,0.6,1,\N,interesting-object,\N,1,37,https://www.legacysurvey.org//viewer/?ra=36.1055&amp;dec=-12.6248&amp;layer=ls-dr9&amp;zoom=15,f,\N,Interesting object,1,\N,0,\N,0,\N
4740,"Interesting object jet or interaction tail, not sure....seems to eminate from core/nucleus region",42:36.0,2/13/2023 16:03,2/22/2023 20:42,87,2,559,639,0,\N,\N,\N,\N,2,2,0,5,t,0,f,f,2/22/2023 20:42,f,regular,\N,0,0,\N,31.8,1,\N,interesting-object-jet-or-interaction-tail-not-sure-seems-to-eminate-from-core-nucleus-region,\N,2,144,https://www.legacysurvey.org//viewer/?ra=129.9614&amp;dec=48.7927&amp;layer=ls-dr10&amp;zoom=14&amp;const,f,\N,"Interesting object jet or interaction tail, not sure&hellip;.seems to eminate from core/nucleus region",2,\N,0,\N,0,\N
10114,Interesting object,17:33.1,4/29/2024 9:17,4/29/2024 9:17,27,1,559,559,0,\N,\N,\N,\N,1,0,0,7,t,0,f,f,4/29/2024 9:17,f,regular,\N,0,0,\N,0.8,1,\N,interesting-object,\N,1,37,https://www.legacysurvey.org//viewer/?ra=84.0218&amp;dec=-53.6463&amp;layer=ls-dr9&amp;zoom=16,f,\N,Interesting object,1,\N,0,\N,0,\N
4266,Single exposures of DECaLS DR5 do not work,17:53.1,12/26/2022 22:01,12/28/2022 3:17,132,5,511,511,1,1,\N,\N,\N,5,1,1,3,t,0,f,f,12/28/2022 3:17,f,regular,\N,0,0,\N,13.2,1,\N,single-exposures-of-decals-dr5-do-not-work,\N,2,251,"Hello @dstn \nI was looking at some artefacts in DR5 but when I click Single Exposures,    I get an error message instead. This is what the screenshot below says. Is there a way to fix the error? Others are experiencing t&hellip;",f,\N,Single exposures of DECaLS DR5 do not work,5,\N,0,2044,0,\N
9946,Interesting object,\N,4/20/2024 9:12,4/21/2024 9:36,5,0,559,559,0,\N,\N,\N,36:33.6,0,0,0,5,t,0,t,f,4/20/2024 9:12,f,regular,\N,0,0,\N,0.2,1,\N,interesting-object,-1,1,4,(topic deleted by author),f,\N,Interesting object,0,\N,0,\N,0,\N
3385,Wow....one or two galaxy?,37:40.8,12/18/2021 12:17,12/20/2021 21:37,108,2,185,291,0,\N,\N,\N,\N,2,0,0,5,t,0,f,f,12/20/2021 21:37,f,regular,\N,0,0,\N,1.9,1,\N,wow-one-or-two-galaxy,\N,2,48,https://www.legacysurvey.org//viewer/?ra=15.8492&amp;dec=-10.8548&amp;layer=ls-dr9&amp;zoom=14,f,\N,Wow&hellip;.one or two galaxy?,2,\N,0,\N,0,\N
9418,Interesting object,06:04.5,3/18/2024 16:06,3/18/2024 16:06,20,1,559,559,0,\N,\N,\N,\N,1,0,0,5,t,0,f,f,3/18/2024 16:06,f,regular,\N,0,0,\N,1,1,\N,interesting-object,\N,1,37,https://www.legacysurvey.org//viewer/?ra=185.3634&amp;dec=27.3657&amp;layer=ls-dr9&amp;zoom=16,f,\N,Interesting object,1,\N,0,\N,0,\N
6935,"Wow, pretty arc",01:23.2,9/22/2023 17:29,9/23/2023 18:15,50,2,848,559,1,\N,\N,\N,\N,3,1,1,7,t,0,f,f,9/22/2023 20:01,f,regular,\N,0,0,\N,9.133333333,1,\N,wow-pretty-arc,\N,2,45,https://www.legacysurvey.org//viewer/?ra=226.9381&amp;dec=5.3824&amp;layer=ls-dr9&amp;zoom=16,f,\N,"Wow, pretty arc",3,\N,0,\N,0,\N
8586,Interesting object ??,\N,1/23/2024 23:04,1/24/2024 23:35,7,0,559,559,0,\N,\N,\N,35:22.7,0,0,0,5,t,0,t,f,1/23/2024 23:05,f,regular,\N,0,0,\N,0.8,1,\N,interesting-object,-1,1,4,(topic deleted by author),f,\N,Interesting object :thinking:,0,\N,0,\N,0,\N
8908,Interesting object,\N,2/15/2024 4:10,2/16/2024 4:24,5,0,559,559,0,\N,\N,\N,24:22.0,0,0,0,7,t,0,t,f,2/15/2024 4:20,f,regular,\N,0,0,\N,0.6,1,\N,interesting-object,-1,1,4,(topic deleted by author),f,\N,Interesting object,0,\N,0,\N,0,\N
2858,Possible supernova detected in r band,56:00.8,7/23/2021 8:54,6/28/2022 2:56,315,14,455,124,7,1,356,\N,\N,14,13,6,6,t,0,f,f,6/28/2022 2:56,f,regular,\N,0,0,\N,24.21428571,1,\N,possible-supernova-detected-in-r-band,\N,4,616,https://www.legacysurvey.org//viewer/?ra=184.4840&amp;dec=22.6898&amp;layer=ls-dr9&amp;zoom=16,f,\N,Possible supernova detected in r band,14,\N,0,\N,0,\N
10530,Interesting object,37:47.3,5/30/2024 8:37,5/30/2024 8:38,24,1,559,559,0,\N,\N,\N,\N,1,0,0,7,t,0,f,f,5/30/2024 8:37,f,regular,\N,0,0,\N,0.8,1,\N,interesting-object,\N,1,37,https://www.legacysurvey.org//viewer/?ra=183.0787&amp;dec=27.5635&amp;layer=ls-dr9&amp;zoom=15,f,\N,Interesting object,1,\N,0,\N,0,\N
5495,Possible lensing),48:23.1,4/17/2023 12:48,4/17/2023 12:48,58,1,559,559,0,\N,\N,\N,\N,1,1,0,7,t,0,f,f,4/17/2023 12:48,f,regular,\N,0,0,\N,17,1,\N,possible-lensing,\N,1,37,https://www.legacysurvey.org//viewer/?ra=135.6137&amp;dec=4.3950&amp;layer=hsc-dr2&amp;zoom=16,f,\N,Possible lensing),1,\N,0,\N,0,\N
